data,autor,texto_original,respostas_coletadas,likes,reposts,uri,termo_busca,categoria_autor
2025-07-04 00:16:33.820000+00:00,handle.invalid,Depois dos 25 toda ressaca parece dengue kkkkk,[arcanjobala.bsky.social]: Totalmente,0,0,at://did:plc:kek6gvp3p27akm7qeo5pafks/app.bsky.feed.post/3lt3xo3frf22m,dengue,Oficial/Verificado
2025-07-04 00:06:27.497000+00:00,usuario_anonimo_4142,assistindo como quem vê o pânico na tv levando a dengue pra argentina a uma participante do the voice argentina cantando uma música de sertanejo universitário,,18,0,at://did:plc:sapcb4ajgnq5xelltkusd77j/app.bsky.feed.post/3lt3x3z6c2k2r,dengue,Comum
2025-07-03 22:40:36.899000+00:00,usuario_anonimo_1530,eu to amando que uma certa festa vai ser na sexta (e feriado) entao eu terei dois dias pra recuperar da minha rebordose que sempre acho que é dengue,,0,0,at://did:plc:2zsiqy2trdksgsxbztnr6ljp/app.bsky.feed.post/3lt3scj6wuk22,dengue,Comum
2025-07-03 22:00:57.539169+00:00,g1-bot-rss.adilson.net.br,"Manaus registra 1ª morte por dengue em 2025; é o 2º caso no AM neste ano, aponta FVS",,0,0,at://did:plc:kzkl2onyewbs7pehh2ellzcb/app.bsky.feed.post/3lt3q3o5a5b2a,dengue,Oficial/Verificado
2025-07-03 19:58:50.686000+00:00,usuario_anonimo_903,"É lastimavelmente mesmo, mas para ter força vou seguindo com a esperança de mudança, mesmo que minha esperança já esteja com pressão alta, diabetes, artrite, dengue, febre amarela e alzheimer para não se frustrar com tantas derrotas e retrocesso, mas estou na luta!",,0,0,at://did:plc:i7us3xmoyezcuwtdgxzww4p7/app.bsky.feed.post/3lt3jbamdmc2h,dengue,Comum
2025-07-03 19:47:58.865000+00:00,usuario_anonimo_4198,"Também é importante higienizar as mãos com frequência. Privilegie água e sabão, mas, se não for possível, álcool em gel também serve. Evite locais fechados para fugir de doenças respiratórias, e use repelente para se proteger de mosquitos transmissores de doenças como dengue e malária. 

(2/3)","[todospelasaude.bsky.social]: Se você vai viajar, pesquise bem seu destino. Com isso, você pode se planejar levando em consideração aspectos específicos. Se o local tiver muitos casos de arboviroses, por exemplo, você pode privilegiar hospedagens teladas. Com a proteção adequada, as férias podem ser mais divertidas! 

(3/3)",0,0,at://did:plc:jz3lcih4jgg6r37edffevfrd/app.bsky.feed.post/3lt3io5oyj224,dengue,Comum
2025-07-03 19:02:16.560000+00:00,usuario_anonimo_505,"envelhecer só é ruim pq qq coisinha ja fica doente

Não pode ficar muito tempo sem comer que doi a cabeça
Não pode tomar um ventinho que ataca sinusite e gripa
Não pode comer qq coisa que dói o estomago e/ou a barriga
Menstruar é igual passar por uma dengue
Dormir mal estraga 3 dias de trabalho",,0,0,at://did:plc:evreb3a7lkyafkklryqz4lhd/app.bsky.feed.post/3lt3g43pug22m,dengue,Comum
2025-07-03 14:51:59.865000+00:00,usuario_anonimo_4550,época q mais recebi elogio por peso foi quando tive dengue hemorrágica 💋,[luciferinna.bsky.social]: emagrecimento saudabilíssimo tb 🥰🥰🥰,1,0,at://did:plc:mfxmw54rymuood7vuabqxr43/app.bsky.feed.post/3lt2y4kooa22f,dengue,Comum
2025-07-03 11:34:49.199000+00:00,usuario_anonimo_1310,"eu me odeio muito, assisti 10 minutos e peguei dengue sarampo influenza febre reumatica",,0,0,at://did:plc:hwpcactw53upga33bnhoqr3d/app.bsky.feed.post/3lt2n3y3ggs2a,dengue,Comum
2025-07-03 04:50:47.491000+00:00,usuario_anonimo_2798,"Sobre a ressaca: sim, eu bebo socialmente e com moderação MAS sou 30+, faixa essa em que segundo muita gente a ressaca parece uma DENGUE mesmo que você tenha bebido pouco.
Não é o meu caso, e não foi nem nas poucas vezes em que eu bebi demais.","[tonkswindrunner.bsky.social]: tmj. 34 aqui e zero ressaca até hoje | [transhusko.bsky.social]: nossa comigo foi real, eu não sentia nada de ressaca agora se eu não beber água direito parece que eu vou morrer",11,1,at://did:plc:tns7ru7qvrnjf6mtcjykfiku/app.bsky.feed.post/3lszwjjf7hs24,dengue,Comum
